"Meses"	"Institucion_Salud"	"Numero_Atenciones"	"Ingresos_Fonasa"	"Ingresos_Colita"
"2024-01-01 00:00:00"	"Colmena de avispas S.A."	7	2036510	14613520
"2024-01-01 00:00:00"	"Cruz de Malta S.A."	9	1720490	9845640
"2024-01-01 00:00:00"	"Cruz pal cielo Ltda."	8	489620	760070
"2024-01-01 00:00:00"	"especial S.A."	12	3141900	12024530
"2024-01-01 00:00:00"	"FONASA"	9	2324940	8566680
"2024-01-01 00:00:00"	"Fundación e imperio"	6	654180	2377560
"2024-01-01 00:00:00"	"Medibanc S.A."	7	4272670	19123410
"2024-01-01 00:00:00"	"Menos vida S.A."	10	2303850	12400480
"2024-01-01 00:00:00"	"Salud Ltda."	9	1449220	9384030
"2024-01-01 00:00:00"	"sinsalud S.A."	11	2182610	15885360
"2024-01-01 00:00:00"	"Vida uno S.A."	14	3265900	16075410
"2024-02-01 00:00:00"	"Colmena de avispas S.A."	13	3887300	30613820
"2024-02-01 00:00:00"	"Cruz de Malta S.A."	10	966470	5703660
"2024-02-01 00:00:00"	"Cruz pal cielo Ltda."	7	1908270	14746060
"2024-02-01 00:00:00"	"especial S.A."	11	3434890	19556990
"2024-02-01 00:00:00"	"FONASA"	13	5870550	27652990
"2024-02-01 00:00:00"	"Fundación e imperio"	5	910630	3942140
"2024-02-01 00:00:00"	"Medibanc S.A."	6	3226030	18826910
"2024-02-01 00:00:00"	"Menos vida S.A."	9	1283690	5273940
"2024-02-01 00:00:00"	"Salud Ltda."	8	1544660	9423540
"2024-02-01 00:00:00"	"sinsalud S.A."	5	269920	2329440
"2024-02-01 00:00:00"	"Vida uno S.A."	8	1284430	4942430
"2024-03-01 00:00:00"	"Colmena de avispas S.A."	11	1038720	6826610
"2024-03-01 00:00:00"	"Cruz de Malta S.A."	10	38145100	340253550
"2024-03-01 00:00:00"	"Cruz pal cielo Ltda."	8	2627340	14608640
"2024-03-01 00:00:00"	"especial S.A."	7	2292130	13004430
"2024-03-01 00:00:00"	"FONASA"	9	1778700	10491500
"2024-03-01 00:00:00"	"Fundación e imperio"	10	1580670	11111830
"2024-03-01 00:00:00"	"Medibanc S.A."	6	1514500	11424370
"2024-03-01 00:00:00"	"Menos vida S.A."	3	198140	1741450
"2024-03-01 00:00:00"	"Salud Ltda."	18	6672480	29564250
"2024-03-01 00:00:00"	"sinsalud S.A."	9	3065320	14967000
"2024-03-01 00:00:00"	"Vida uno S.A."	9	1087850	3079070
"2024-04-01 00:00:00"	"Colmena de avispas S.A."	7	654610	3950290
"2024-04-01 00:00:00"	"Cruz de Malta S.A."	6	1301490	6100200
"2024-04-01 00:00:00"	"Cruz pal cielo Ltda."	6	422370	2379320
"2024-04-01 00:00:00"	"especial S.A."	7	1486840	7442210
"2024-04-01 00:00:00"	"FONASA"	7	4051030	31060790
"2024-04-01 00:00:00"	"Fundación e imperio"	7	1525050	8432610
"2024-04-01 00:00:00"	"Medibanc S.A."	6	1805890	4319400
"2024-04-01 00:00:00"	"Menos vida S.A."	10	2269030	18669170
"2024-04-01 00:00:00"	"Salud Ltda."	13	3632820	15933210
"2024-04-01 00:00:00"	"sinsalud S.A."	16	7475990	32097630
"2024-04-01 00:00:00"	"Vida uno S.A."	8	2417650	10093230
"2024-05-01 00:00:00"	"Colmena de avispas S.A."	10	2080370	15152570
"2024-05-01 00:00:00"	"Cruz de Malta S.A."	10	1471330	6703750
"2024-05-01 00:00:00"	"Cruz pal cielo Ltda."	9	1994050	13787800
"2024-05-01 00:00:00"	"especial S.A."	13	1527240	9858840
"2024-05-01 00:00:00"	"FONASA"	8	1745290	7681340
"2024-05-01 00:00:00"	"Fundación e imperio"	6	490150	2093520
"2024-05-01 00:00:00"	"Medibanc S.A."	6	2696990	17058900
