"año"	"mes"	"Institucion_Salud"	"Numero_Atenciones"	"Ingresos"
2024	1	"Colmena de avispas S.A."	1050	9266460
2024	1	"Cruz de Malta S.A."	1000	8825200
2024	1	"Cruz pal cielo Ltda."	1050	9266460
2024	1	"especial S.A."	1150	10148980
2024	1	"FONASA"	1250	11031500
2024	1	"Fundación e imperio"	800	7060160
2024	1	"Medibanc S.A."	1350	11914020
2024	1	"Menos vida S.A."	1100	9707720
2024	1	"Salud Ltda."	1150	10148980
2024	1	"sinsalud S.A."	1250	11031500
2024	1	"Vida uno S.A."	1300	11472760
2024	2	"Colmena de avispas S.A."	1300	11472760
2024	2	"Cruz de Malta S.A."	900	7942680
2024	2	"Cruz pal cielo Ltda."	1050	9266460
2024	2	"especial S.A."	1050	9266460
2024	2	"FONASA"	1350	11914020
2024	2	"Fundación e imperio"	1050	9266460
2024	2	"Medibanc S.A."	900	7942680
2024	2	"Menos vida S.A."	1100	9707720
2024	2	"Salud Ltda."	1050	9266460
2024	2	"sinsalud S.A."	800	7060160
2024	2	"Vida uno S.A."	900	7942680
2024	3	"Colmena de avispas S.A."	1200	10590240
2024	3	"Cruz de Malta S.A."	900	7942680
2024	3	"Cruz pal cielo Ltda."	950	8383940
2024	3	"especial S.A."	1000	8825200
2024	3	"FONASA"	1050	9266460
2024	3	"Fundación e imperio"	1000	8825200
2024	3	"Medibanc S.A."	750	6618900
2024	3	"Menos vida S.A."	700	6177640
2024	3	"Salud Ltda."	1250	11031500
2024	3	"sinsalud S.A."	1050	9266460
2024	3	"Vida uno S.A."	1300	11472760
2024	4	"Colmena de avispas S.A."	900	7942680
2024	4	"Cruz de Malta S.A."	850	7501420
2024	4	"Cruz pal cielo Ltda."	650	5736380
2024	4	"especial S.A."	1000	8825200
2024	4	"FONASA"	400	3530080
2024	4	"Fundación e imperio"	1000	8825200
2024	4	"Medibanc S.A."	750	6618900
2024	4	"Menos vida S.A."	1000	8825200
2024	4	"Salud Ltda."	1150	10148980
2024	4	"sinsalud S.A."	1350	11914020
2024	4	"Vida uno S.A."	1250	11031500
2024	5	"Colmena de avispas S.A."	1300	11472760
2024	5	"Cruz de Malta S.A."	1000	8825200
2024	5	"Cruz pal cielo Ltda."	800	7060160
2024	5	"especial S.A."	1350	11914020
2024	5	"FONASA"	1100	9707720
2024	5	"Fundación e imperio"	900	7942680
2024	5	"Medibanc S.A."	650	5736380
2024	5	"Menos vida S.A."	700	6177640
2024	5	"Salud Ltda."	1450	12796540
2024	5	"sinsalud S.A."	850	7501420
2024	5	"Vida uno S.A."	800	7060160
2024	6	"Colmena de avispas S.A."	1050	9266460
2024	6	"Cruz de Malta S.A."	1100	9707720
2024	6	"Cruz pal cielo Ltda."	950	8383940
2024	6	"especial S.A."	1000	8825200
2024	6	"FONASA"	1250	11031500
2024	6	"Fundación e imperio"	1050	9266460
2024	6	"Medibanc S.A."	650	5736380
2024	6	"Menos vida S.A."	900	7942680
2024	6	"Salud Ltda."	1250	11031500
2024	6	"sinsalud S.A."	950	8383940
2024	6	"Vida uno S.A."	1050	9266460
2024	7	"Colmena de avispas S.A."	1150	10148980
2024	7	"Cruz de Malta S.A."	850	7501420
2024	7	"Cruz pal cielo Ltda."	1050	9266460
2024	7	"especial S.A."	1050	9266460
2024	7	"FONASA"	800	7060160
2024	7	"Fundación e imperio"	950	8383940
2024	7	"Medibanc S.A."	1200	10590240
2024	7	"Menos vida S.A."	1350	11914020
2024	7	"Salud Ltda."	700	6177640
2024	7	"sinsalud S.A."	1050	9266460
2024	7	"Vida uno S.A."	1400	12355280
2024	8	"Colmena de avispas S.A."	900	7942680
2024	8	"Cruz de Malta S.A."	650	5736380
2024	8	"Cruz pal cielo Ltda."	850	7501420
2024	8	"especial S.A."	950	8383940
2024	8	"FONASA"	1150	10148980
